nom,isin,ticker,frais
Amundi Euro Stoxx Banks UCITS ETF Acc,LU1829219390,BNKE,0.25
Amundi MSCI Semiconductors UCITS ETF Acc,LU1900066033,CHIP,0.35
SPDR MSCI Europe Financials UCITS ETF,IE00BKWQ0G16,STZ,0.3
iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,QDVE,0.15
iShares S&P 500 Energy Sector UCITS ETF (Acc),IE00B42NKQ00,QDVF,0.18
Xtrackers MSCI World Financials UCITS ETF 1C,IE00BM67HL84,XDWF,0.19
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,XAIX,0.35
SPDR MSCI Europe Industrials UCITS ETF,IE00BKWQ0J47,STQ,0.3
iShares S&P 500 Financials Sector UCITS ETF (Acc),IE00B4JNQZ49,QDVH,0.12
SPDR S&P U.S. Financials Select Sector UCITS ETF USD,IE00BWBXM500,ZPDF,0.13
